epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.7707887291908264,0.9830461740493774,0.001,0.6380674839019775,1.0506806373596191
1,0.8004996180534363,0.7363764643669128,0.001,0.7280299663543701,0.8051430583000183
2,0.8155781626701355,0.638378918170929,0.001,0.7205331325531006,0.8784072995185852
3,0.8156673908233643,0.6114896535873413,0.001,0.7696793079376221,0.6780609488487244
4,0.824857234954834,0.5623960494995117,0.001,0.7517700791358948,0.7576948404312134
5,0.8315488696098328,0.5550785660743713,0.001,0.7700957655906677,0.7122094035148621
6,0.796484649181366,0.6287760138511658,0.0005,0.8129945993423462,0.5449789762496948
7,0.8146859407424927,0.5697814226150513,0.0005,0.798417329788208,0.5912251472473145
8,0.8243219256401062,0.5353425741195679,0.0005,0.8113285899162292,0.5581204891204834
9,0.7983583211898804,0.6020336747169495,0.00025,0.8421490788459778,0.4752577543258667
